name,description,instructions,muscle_group
Barbell Bench Press,A fundamental chest exercise that develops strength and size in the chest muscles.,"""Lie back on a bench with a barbell racked above. Grip the bar slightly wider than shoulder-width. Unrack the bar, lower it to the mid-chest level, and then press up to full extension.""",Chest
Dumbbell Flyes,Isolates the chest muscles by moving the arms in a wide arc.,"""Lie on a bench with a dumbbell in each hand. With a slight bend in your elbows, lower the dumbbells to the sides until they're level with your chest, then bring them back up in an arc-like motion.""",Chest
Push-Ups,A bodyweight exercise that can be done anywhere to strengthen the chest.,"""Start in a plank position, hands slightly wider than shoulder-width. Lower your body until your chest nearly touches the floor, then push back up to the starting position.""",Chest
Cable Crossover,Uses constant tension from cables to target the chest muscles.,"""Stand in the middle of a cable machine with both pulleys set to the high position. Grip a handle in each hand, step forward and lean slightly forward. Bring your hands together in front of you in a smooth arc motion.""",Chest
Squats,A compound exercise that targets the lower body and core strength.,"""Stand with feet shoulder-width apart. Bend your knees and lower your body as if sitting back into a chair, keeping your back straight. Return to the starting position.""",Leg
Lunges,Enhances leg strength and stability.,"""Stand upright, step forward with one leg, and lower your hips until both knees are bent at a 90-degree angle. Push back up to the starting position and repeat with the other leg.""",Leg
Leg Press,A machine-based exercise that allows heavy leg training with less strain on the back.,"""Sit in a leg press machine with your feet shoulder-width apart on the platform. Bend your knees to lower the platform, then press back to the starting position through your heels.""",Leg
Calf Raises,Focuses on the calf muscles for lower leg development.,"""Stand with the balls of your feet on a raised surface (like a step) with heels hanging off. Push through the balls of your feet to raise your heel as high as possible, then lower back down.""",Leg
Pull-Ups,A bodyweight exercise that strengthens the upper back and lats.,"""Grip an overhead bar with your hands shoulder-width apart. Pull your body up until your chin is above the bar, then lower yourself back down.""",Back
Deadlifts,"""A compound exercise that targets the back, glutes, and legs.""","""Stand with your feet hip-width apart, bend at the hips and knees, and grip a barbell. Keep your back straight as you stand up with the weight, then lower it back to the ground.""",Back
Bent-Over Rows,Strengthens the middle back by pulling weight towards the torso.,"Hold a barbell with an overhand grip, bend your knees slightly and lean forward from your waist. Pull the barbell towards your lower ribcage, then lower it back down.",Back
Lat Pulldowns,Targets the latissimus dorsi muscles in the back.,"""Sit at a lat pulldown machine, grab the bar with an overhand grip wider than shoulder-width. Pull the bar down to chest level, then slowly return to the starting position.""",Back
Barbell Curl,A fundamental bicep exercise that involves curling a barbell toward the chest.,Stand straight with a barbell in both hands at arm's length. Keep your elbows close to your torso and curl the weights while contracting your biceps. Return to the starting position.,Biceps
Hammer Curl,Targets the biceps and the forearms by curling the dumbbells with a neutral grip.,"""Stand with a dumbbell in each hand at arm's length, palms facing your torso. Keep your upper arms stationary and curl the weights while keeping the palms facing each other.""",Biceps
Preacher Curl,"""Isolates the biceps using a preacher bench for support, preventing cheating.""",Sit at a preacher bench with your upper arms resting on the pad. Curl the barbell or dumbbells from the low position to full contraction. Slowly lower back down.,Biceps
Concentration Curl,Isolates each bicep individually by preventing momentum and swinging.,"""Sit on a bench, spread your legs, and pick up a dumbbell. Rest the back of your upper arm on your inner thigh and curl the dumbbell up toward your chest. Repeat on the other side.""",Biceps
